name,b1n,b2n,b3n,b4n,b5n,b6n,a1n,a2n,a3n,a4n,a5n,a6n,avg_bn,avg_an,deltan,st_devn,b1pl,b2pl,b3pl,b4pl,b5pl,b6pl,a1pl,a2pl,a3pl,a4pl,a5pl,a6pl,avg_bpl,avg_apl,deltapl,st_devpl,b1pu,b2pu,b3pu,b4pu,b5pu,b6pu,a1pu,a2pu,a3pu,a4pu,a5pu,a6pu,avg_bpu,avg_apu,deltapu,st_devpu,st_dev_b,st_dev_a
p1,371,456,472,375,298,269,376,280,467,351,240,241,373.5,325.8333333,-47.66666667,81.49471694,251,236,289,310,365,295,242,279,251,261,320,305,291,276.3333333,-14.66666667,36.42191038,380,421,294,410,385,311,341,315,283,355,314,283,366.8333333,315.1666667,-51.66666667,46.59756789,67.71882682,56.27467909
p2,196,182,188,217,183,200,183,182,201,179,196,169,194.3333333,185,-9.333333333,12.29046604,206,239,192,185,190,193,173,181,169,167,196,181,200.8333333,177.8333333,-23,18.58912466,225,213,203,197,193,177,190,234,185,184,189,182,201.3333333,194,-7.333333333,17.09450854,15.67464336,14.91508889
p3,288,313,252,245,281,250,259,243,242,292,262,269,271.5,261.1666667,-10.33333333,21.72683952,292,249,262,248,269,323,311,263,253,275,240,251,273.8333333,265.5,-8.333333333,25.14402955,283,266,289,274,321,291,286,245,253,261,287,257,287.3333333,264.8333333,-22.5,20.1430647,24.15510579,19.02118702
p4,257,247,242,225,244,267,248,256,257,248,246,257,247,252,5,10.11187421,238,262,282,289,276,288,236,227,231,284,248,249,272.5,245.8333333,-26.66666667,22.71502195,243,264,243,278,234,256,173,224,249,275,211,279,253,235.1666667,-17.83333333,29.64078928,18.83038325,25.18818065
p5,193,205,210,187,199,218,178,201,198,183,210,211,202,196.8333333,-5.166666667,11.7718473,219,203,210,189,175,190,210,176,191,174,183,177,197.6666667,185.1666667,-12.5,14.952471,209,210,193,188,202,210,191,223,174,180,192,187,202,191.1666667,-10.83333333,13.71409453,11.68200051,14.39317825
p6,293,299,321,260,312,308,286,274,277,280,315,303,298.8333333,289.1666667,-9.666666667,18.03237829,300,297,299,315,299,293,312,297,306,270,276,275,300.5,289.3333333,-11.16666667,13.73837893,300,303,309,273,289,307,290,305,312,270,271,313,296.8333333,293.5,-3.333333333,15.51253973,14.03094024,16.55965646
p7,415,379,396,408,365,340,408,345,415,367,386,372,383.8333333,382.1666667,-1.666666667,24.97665577,371,355,395,408,393,345,393,366,379,402,342,369,377.8333333,375.1666667,-2.666666667,21.16797896,392,392,366,404,415,376,400,394,370,372,410,381,390.8333333,387.8333333,-3,15.59023911,22.59363234,20.44723713
p8,224,184,199,210,203,182,192,201,200,216,211,224,200.3333333,207.3333333,7,13.25288229,194,188,215,203,225,213,228,180,187,185,198,186,206.3333333,194,-12.33333333,15.77357143,190,196,219,196,216,212,215,184,189,223,204,187,204.8333333,200.3333333,-4.5,13.3195241,13.12863706,15.10416507
p9,208,202,210,235,209,225,207,235,219,201,200,218,214.8333333,213.3333333,-1.5,11.82834402,209,254,222,196,246,207,229,199,222,212,190,172,222.3333333,204,-18.33333333,22.24047861,233,211,241,240,242,235,200,191,244,209,212,228,233.6666667,214,-19.66666667,17.53488586,17.0069884,17.28268955
p10,176,200,179,232,189,194,181,203,175,204,193,172,195,188,-7,16.26601775,189,197,214,176,220,213,181,178,192,193,198,206,201.5,191.3333333,-10.16666667,13.88919444,203,206,183,210,173,188,178,199,204,203,198,192,193.8333333,195.6666667,1.833333333,11.380722,16.31139873,10.97977939
p11,254,249,289,277,223,245,265,271,267,242,276,214,256.1666667,255.8333333,-0.333333333,21.56385865,256,255,278,265,243,263,249,242,267,273,228,234,260,248.8333333,-11.16666667,14.93574199,286,265,243,255,251,244,251,246,275,214,234,242,257.3333333,243.6666667,-13.66666667,17.99768504,16.39190179,19.53123488
p12,278,301,289,277,376,288,281,298,290,293,289,276,301.5,287.8333333,-13.66666667,25.69803278,291,288,310,303,286,277,290,308,312,278,269,289,292.5,291,-1.5,13.27984061,299,305,276,288,289,321,294,276,307,290,271,288,296.3333333,287.6666667,-8.666666667,13.80217374,22.65086595,11.98726176
p13,243,266,274,253,278,250,241,250,289,248,249,256,260.6666667,255.5,-5.166666667,14.52846822,263,279,241,251,210,321,278,261,255,261,249,249,260.8333333,258.8333333,-2,25.20857438,256,259,280,240,252,267,240,267,266,252,239,254,259,253,-6,12.12435565,22.30657601,12.65155043
p14,198,207,177,281,212,190,187,199,209,210,186,174,210.8333333,194.1666667,-16.66666667,26.66927071,194,202,188,219,188,211,204,177,172,179,191,200,200.3333333,187.1666667,-13.16666667,13.51619399,210,188,190,203,212,179,200,192,185,170,210,198,197,192.5,-4.5,12.5838852,22.3626811,12.90480339
