name,b1n,b2n,b3n,b4n,b5n,b6n,a1n,a2n,a3n,a4n,a5n,a6n,avg_bn,avg_an,deltan,st_devn,b1pl,b2pl,b3pl,b4pl,b5pl,b6pl,a1pl,a2pl,a3pl,a4pl,a5pl,a6pl,avg_bpl,avg_apl,deltapl,st_devpl,b1pu,b2pu,b3pu,b4pu,b5pu,b6pu,a1pu,a2pu,a3pu,a4pu,a5pu,a6pu,avg_bpu,avg_apu,deltapu,st_devpu,st_dev_b,st_dev_a
p1,134,72,54,96,44,68,138,95,40,42,68,97,79,80,1,32.15327873,74,68,72,64,52,84,61,55,75,70,70,75,68.33333333,67.66666667,-0.666666667,8.673074554,84,49,53,91,83,75,71,51,75,75,81,88,73,73.5,0.5,13.87443693,20.64582282,21.89572651
p2,34,22,28,22,9,20,20,51,23,26,31,29,26.25,30,3.75,9.696434052,15,54,27,27,24,25,23,34,19,31,29,23,27.58333333,26.5,-1.083333333,9.340399111,27,34,35,33,43,33,48,19,28,23,52,36,34.25,34.33333333,0.083333333,9.301657558,9.895129117,10.16970204
p3,26,25,27,30,27,32,23,24,45,33,39,22,29.41666667,31,1.583333333,6.601241466,34,28,63,39,41,21,22,33,53,37,56,45,39.33333333,41,1.666666667,12.57864151,37,21,25,24,22,28,45,29,31,31,36,37,30.5,34.83333333,4.333333333,6.885976087,9.742360096,9.894661237
p4,22,73,120,75,76,31,78,24,69,25,41,36,55.83333333,45.5,-10.33333333,29.1399878,63,67,40,42,47,22,25,36,18,37,67,62,43.83333333,40.83333333,-3,16.84652948,47,39,45,54,67,48,48,44,56,45,88,53,52.83333333,55.66666667,2.833333333,12.65459952,22.8716224,19.14273869
p5,45,38,58,93,49,31,59,30,46,130,24,38,53.41666667,54.5,1.083333333,28.8976883,53,49,38,67,44,56,58,67,29,78,31,67,53.08333333,55,1.916666667,14.8012293,47,59,35,29,39,48,50,59,60,49,48,53,48,53.16666667,5.166666667,9.255628918,14.55470735,23.35607357
p6,61,73,58,40,56,70,68,61,62,67,37,43,59.66666667,56.33333333,-3.333333333,11.46734494,68,44,61,40,50,59,50,59,65,64,41,56,53.66666667,55.83333333,2.166666667,9.175374652,44,50,45,57,54,42,58,44,59,47,57,66,48.66666667,55.16666667,6.5,7.308195552,10.03881356,9.454896178
p7,58,52,21,21,38,39,28,23,32,41,44,51,38.16666667,36.5,-1.666666667,12.0577315,34,57,52,35,29,38,60,52,53,29,53,31,40.83333333,46.33333333,5.5,11.36117903,48,33,58,31,24,55,55,47,39,49,31,54,41.5,45.83333333,4.333333333,11.07048127,12.5,11.0598819
p8,46,51,47,60,53,51,58,59,65,41,33,56,51.33333333,52,0.666666667,8.556998435,62,45,54,55,30,38,58,69,40,36,54,57,47.33333333,52.33333333,5,11.32720423,33,52,41,49,46,57,54,48,58,56,51,52,46.33333333,53.16666667,6.833333333,6.857173859,8.432740427,9.352658564
p9,47,53,45,43,63,61,23,59,69,22,69,43,52,47.5,-4.5,15.12792671,48,34,30,53,51,38,38,21,34,58,60,42,42.33333333,42.16666667,-0.166666667,11.40997371,67,64,43,38,58,34,67,67,70,54,28,31,50.66666667,52.83333333,2.166666667,15.27593423,10.9138037,17.57602534
p10,82,61,81,66,75,62,54,75,84,63,89,43,71.16666667,68,-3.166666667,13.11778902,55,64,77,87,52,76,76,62,55,78,87,70,68.5,71.33333333,2.833333333,11.67945727,58,46,82,42,81,75,67,84,74,44,75,70,64,69,5,14.63158684,13.17357999,13.35507487
p11,43,64,53,49,40,46,38,49,39,75,60,31,49.16666667,48.66666667,-0.5,11.93355447,22,59,53,48,70,27,21,67,53,53,26,69,46.5,48.16666667,1.666666667,17.81073334,75,39,63,42,54,43,79,53,37,34,76,77,52.66666667,59.33333333,6.666666667,16.563011,13.36754869,18.31960766
p12,74,105,59,77,71,76,58,103,43,77,94,66,77,73.5,-3.5,17.60740848,61,54,67,88,81,56,40,97,85,80,65,67,67.83333333,72.33333333,4.5,15.74514916,68,48,105,75,91,55,82,50,62,101,76,101,73.66666667,78.66666667,5,19.39430042,16.1494754,19.34554212
p13,32,36,29,41,40,41,41,47,51,35,42,35,36.5,41.83333333,5.333333333,5.913731666,27,48,21,34,47,39,54,24,58,27,33,37,36,38.83333333,2.833333333,11.55752521,32,25,31,41,59,26,56,59,31,59,40,32,35.66666667,46.16666667,10.5,13.04133386,9.222389557,11.19923388
p14,78,76,119,58,48,98,98,55,60,79,91,109,79.5,82,2.5,21.75287337,41,91,112,62,66,61,56,83,108,94,51,51,72.16666667,73.83333333,1.666666667,22.7412987,60,49,56,115,73,81,110,77,74,60,84,48,72.33333333,75.5,3.166666667,20.7222036,23.11805451,20.8083554
