name,b1n,b2n,b3n,b4n,b5n,b6n,a1n,a2n,a3n,a4n,a5n,a6n,avg_bn,avg_an,deltan,st_devn,b1pl,b2pl,b3pl,b4pl,b5pl,b6pl,a1pl,a2pl,a3pl,a4pl,a5pl,a6pl,avg_bpl,avg_apl,deltapl,st_devpl,b1pu,b2pu,b3pu,b4pu,b5pu,b6pu,a1pu,a2pu,a3pu,a4pu,a5pu,a6pu,avg_bpu,avg_apu,deltapu,st_devpu,st_dev_b,st_dev_a
p1,9,11,12,14,14,14,12,13,13,14,12,14,12.33333333,13,0.666666667,1.490711985,14,15,13,14,13,11,13,14,14,14,14,14,13.33333333,13.83333333,0.5,0.953793595,14,12,13,14,13,14,14,13,14,14,14,13,13.33333333,13.66666667,0.333333333,0.645497224,1.452966315,0.687184271
p2,10,10,9,10,9,11,9,9,10,12,10,12,9.833333333,10.33333333,0.5,1.037491633,8,10,11,9,8,10,9,9,8,10,12,9,9.333333333,9.5,0.166666667,1.187317237,7,8,9,10,9,9,9,8,7,11,11,11,8.666666667,9.5,0.833333333,1.381926996,1.043794124,1.435871998
p3,8,9,10,9,10,9,11,9,11,12,10,9,9.166666667,10.33333333,1.166666667,1.089724736,10,9,10,10,10,10,9,9,11,10,10,10,9.833333333,9.833333333,0,0.552770798,10,10,10,10,9,10,9,9,12,10,10,11,9.833333333,10.16666667,0.333333333,0.816496581,0.590563656,0.99380799
p4,14,14,14,14,14,15,14,13,15,14,14,14,14.16666667,14,-0.166666667,0.493006649,15,14,14,14,14,16,10,14,12,15,15,15,14.5,13.5,-1,1.527525232,16,14,14,15,15,14,16,14,16,14,15,15,14.66666667,15,0.333333333,0.799305254,0.684934889,1.38443731
p5,12,12,11,12,12,10,11,12,12,13,11,12,11.5,11.83333333,0.333333333,0.745355992,11,12,12,12,12,11,11,11,12,12,12,13,11.66666667,11.83333333,0.166666667,0.595119036,11,10,11,12,11,10,12,12,11,12,11,11,10.83333333,11.5,0.666666667,0.687184271,0.745355992,0.650261106
p6,13,13,12,10,13,12,13,12,11,13,12,12,12.16666667,12.16666667,0,0.897527468,12,13,12,12,11,12,13,13,12,11,13,11,12,12.16666667,0.166666667,0.759202798,11,12,12,13,12,12,12,12,13,12,12,13,12,12.33333333,0.333333333,0.552770798,0.77975938,0.711458249
p7,9,10,9,9,9,10,11,9,10,10,9,9,9.333333333,9.666666667,0.333333333,0.645497224,9,9,10,9,11,10,10,10,10,11,10,11,9.666666667,10.33333333,0.666666667,0.707106781,11,10,9,9,9,10,11,12,10,9,10,10,9.666666667,10.33333333,0.666666667,0.912870929,0.684934889,0.808901099
p8,13,13,14,13,13,14,13,13,13,12,13,13,13.33333333,12.83333333,-0.5,0.493006649,13,14,13,13,12,13,14,14,13,13,13,13,13,13.33333333,0.333333333,0.552770798,12,13,13,13,14,13,14,14,14,14,14,14,13,14,1,0.645497224,0.566557724,0.590563656
p9,8,9,9,9,10,11,9,10,10,9,10,10,9.333333333,9.666666667,0.333333333,0.763762616,9,10,10,10,11,9,11,10,10,10,10,11,9.833333333,10.33333333,0.5,0.640095479,9,9,10,9,10,11,11,10,10,11,10,10,9.666666667,10.33333333,0.666666667,0.707106781,0.825892708,0.566557724
p10,13,13,14,14,14,14,14,14,12,14,13,14,13.66666667,13.5,-0.166666667,0.640095479,13,14,13,13,13,13,14,14,13,14,13,13,13.16666667,13.5,0.333333333,0.471404521,14,13,11,13,13,13,13,14,14,13,14,14,12.83333333,13.66666667,0.833333333,0.829156198,0.711458249,0.598351645
p11,11,10,11,12,11,11,10,10,11,10,11,10,11,10.33333333,-0.666666667,0.623609564,11,10,10,11,12,11,12,11,10,11,11,12,10.83333333,11.16666667,0.333333333,0.707106781,11,13,11,10,11,11,11,12,12,12,11,12,11.16666667,11.66666667,0.5,0.759202798,0.745355992,0.77975938
p12,12,13,12,12,12,13,12,12,13,12,13,12,12.33333333,12.33333333,0,0.471404521,12,13,13,12,13,11,11,12,13,13,12,11,12.33333333,12,-0.333333333,0.799305254,12,13,13,11,11,12,13,12,13,13,12,13,12,12.66666667,0.666666667,0.745355992,0.711458249,0.666666667
p13,10,10,10,11,10,9,10,9,11,10,10,9,10,9.833333333,-0.166666667,0.640095479,10,9,9,10,10,11,10,10,10,10,9,11,9.833333333,10,0.166666667,0.640095479,10,9,9,10,11,10,11,11,10,9,11,11,9.833333333,10.5,0.666666667,0.799305254,0.657342198,0.737027731
p14,14,14,13,14,13,13,14,14,14,15,13,14,13.5,14,0.5,0.595119036,14,13,14,13,14,14,14,11,14,14,13,14,13.66666667,13.33333333,-0.333333333,0.866025404,13,14,14,12,14,13,15,14,14,13,14,14,13.33333333,14,0.666666667,0.745355992,0.600925213,0.853460639
